hour_index,total_cpu_usage,total_memory_usage
0,0.49972282231097376,0.5707796058912943
1,0.5330721375652657,0.6332670123348605
2,0.5021817722976342,0.6308794811515763
3,0.5207695071402768,0.6265564159353765
4,0.4702503559372152,0.6241025548321104
5,0.4892506196691388,0.6229465662851961
6,0.4891028019202979,0.5886789817743713
7,0.5220997365484474,0.5763443744357776
8,0.4779958251938122,0.5599626967400055
9,0.5128362342514916,0.6096543142942972
10,0.5048366453664479,0.6030205361176061
11,0.5031378124420234,0.6043913433260634
12,0.4865309448304519,0.5691574323982875
13,0.4511266496922721,0.5709957913711938
14,0.48159397381505453,0.614339925483364
15,0.4959834621448762,0.6209968372242669
16,0.49590516726849665,0.6435051183679721
17,0.508449715754098,0.6436790235483432
18,0.46796985230782984,0.638311662864925
19,0.4998189494970849,0.6396262525120435
20,0.5282864816775056,0.6505809360804025
21,0.5056994870472773,0.6260150010041613
22,0.5089988910953321,0.5725622087869716
23,0.5194058272236377,0.5587610229183453
24,0.516161687390597,0.580946957714757
25,0.49228470844859096,0.5468180228797157
26,0.5279962223186692,0.5435786548948893
27,0.5187489311469549,0.5624826354423407
28,0.5194711466582226,0.5682742466240988
29,0.49517107468286703,0.5343403975626932
30,0.46824970912268304,0.5250218239736613
31,0.4893378289585993,0.521322203880031
32,0.5251650915651725,0.5224607436611641
33,0.5210618283343076,0.5637200272473489
34,0.5220522030420541,0.5445385907667417
35,0.5150271371312638,0.5539336280783892
36,0.5346871461243905,0.5605028145289738
37,0.49844068891183047,0.5261765740121319
38,0.512766049897126,0.5721536649156523
39,0.5026123071014886,0.573785729853743
40,0.47881127969903436,0.5693691465533529
41,0.4988953236556334,0.5971085846008204
42,0.473250956817189,0.585604994427481
43,0.47516190253652774,0.56046046561542
44,0.48751181045682823,0.5901164177699947
45,0.5077798180254092,0.5937604347265525
46,0.45696316937753373,0.5899970409309797
47,0.48361656649275325,0.5922996030173087
48,0.46734439032641495,0.5981156382632833
49,0.484975409441608,0.596901737371748
50,0.4707626118125239,0.6012660210727918
51,0.4690208885628899,0.6121399034331967
52,0.4815554278036965,0.6152369968986887
53,0.47713778154613967,0.6007258985465899
54,0.47505065839980853,0.5781953774394154
55,0.48890391513387865,0.5673056857332537
56,0.4902864800970913,0.5429807286432714
57,0.49420373333781675,0.5594212913001164
58,0.495005981004607,0.5654451748993096
59,0.5084476054826833,0.5760046107469151
60,0.5177463569677737,0.5847188869433444
61,0.5048639136651656,0.5649387320984437
62,0.5126446023639668,0.5579583286786388
63,0.4867802719639917,0.5454991117796759
64,0.41903192607818623,0.4736511324953171
65,0.4057186461527437,0.46250870047081855
66,0.4143078190988906,0.47316856855533185
67,0.4334770654661337,0.4982028372924571
68,0.42535212456082555,0.4874133284862417
69,0.4515245626704768,0.48695336910813447
70,0.46853257637795687,0.5000281803870754
71,0.442885921355728,0.4908675151157527
72,0.4437194544194244,0.4997869744066943
73,0.4583657057082768,0.5097962873603563
74,0.42761997713759003,0.4961908987776347
