hour_index,tier,avg_cpu_usage,avg_memory_usage,total_cpu_usage,total_memory_usage
0,4_prod,0.19048182684871653,0.23038411606654266,0.49972282231097376,0.5707796058912943
0,2_beb,0.278891949314432,0.32258918630443634,0.49972282231097376,0.5707796058912943
0,1_free,0.004320302554679752,0.0011644679591904176,0.49972282231097376,0.5707796058912943
0,3_mid,0.02602874359314548,0.01664183556112493,0.49972282231097376,0.5707796058912943
1,2_beb,0.2884549698395091,0.3538657062321007,0.5330721375652657,0.6332670123348605
1,4_prod,0.2063998476770402,0.2527743623064687,0.5330721375652657,0.6332670123348605
1,3_mid,0.03125004720549806,0.024933747386277003,0.5330721375652657,0.6332670123348605
1,1_free,0.006967272843218366,0.001693196410014073,0.5330721375652657,0.6332670123348605
2,4_prod,0.20371780757291583,0.2517994618842941,0.5021817722976342,0.6308794811515763
2,3_mid,0.02511836341002501,0.0205372289004634,0.5021817722976342,0.6308794811515763
2,1_free,0.020375080996290793,0.004787889193829443,0.5021817722976342,0.6308794811515763
2,2_beb,0.2529705203184025,0.3537549011729894,0.5021817722976342,0.6308794811515763
3,1_free,0.012495644757752535,0.003323081832864701,0.5207695071402768,0.6265564159353765
3,3_mid,0.024188728139706656,0.023481478943403168,0.5207695071402768,0.6265564159353765
3,4_prod,0.20934253941564887,0.25190014962836826,0.5207695071402768,0.6265564159353765
3,2_beb,0.2747425948271688,0.3478517055307403,0.5207695071402768,0.6265564159353765
4,2_beb,0.2294039523618491,0.3483590547279373,0.4702503559372152,0.6241025548321104
4,4_prod,0.20580514792085916,0.25240552257305326,0.4702503559372152,0.6241025548321104
4,1_free,0.01518934808260814,0.004040773680112315,0.4702503559372152,0.6241025548321104
4,3_mid,0.019851907571898794,0.01929720385100746,0.4702503559372152,0.6241025548321104
5,4_prod,0.21240705803146673,0.25201977283725185,0.4892506196691388,0.6229465662851961
5,3_mid,0.024840828269202597,0.015927315199107304,0.4892506196691388,0.6229465662851961
5,1_free,0.013748823737446078,0.003661347814109799,0.4892506196691388,0.6229465662851961
5,2_beb,0.2382539096310234,0.3513381304347271,0.4892506196691388,0.6229465662851961
6,2_beb,0.24570947264176293,0.3195913847680715,0.4891028019202979,0.5886789817743713
6,1_free,0.007596855470365792,0.002030650402432108,0.4891028019202979,0.5886789817743713
6,4_prod,0.21766869917996673,0.2549377421406821,0.4891028019202979,0.5886789817743713
6,3_mid,0.018127774628202472,0.012119204463185639,0.4891028019202979,0.5886789817743713
7,2_beb,0.2689710670166441,0.30324687217095775,0.5220997365484474,0.5763443744357776
7,1_free,0.0034634936447199994,0.0010749714323702016,0.5220997365484474,0.5763443744357776
7,4_prod,0.22489432269731943,0.25435659114159676,0.5220997365484474,0.5763443744357776
7,3_mid,0.024770853189763926,0.017665939690852908,0.5220997365484474,0.5763443744357776
8,1_free,0.0030111149399060185,0.0010431080062608554,0.4779958251938122,0.5599626967400055
8,2_beb,0.23596698560541818,0.29129056515861673,0.4779958251938122,0.5599626967400055
8,3_mid,0.016207063910280504,0.016385037372246256,0.4779958251938122,0.5599626967400055
8,4_prod,0.22281066073820746,0.2512439862028817,0.4779958251938122,0.5599626967400055
9,1_free,0.0017564321428168634,0.0006387977720258469,0.5128362342514916,0.6096543142942972
9,2_beb,0.2622702245285097,0.34310723396026865,0.5128362342514916,0.6096543142942972
9,3_mid,0.02520657835598762,0.015128284729188956,0.5128362342514916,0.6096543142942972
9,4_prod,0.22360299922417742,0.2507799978328137,0.5128362342514916,0.6096543142942972
10,2_beb,0.2651681210550872,0.3387261442399612,0.5048366453664479,0.6030205361176061
10,1_free,0.0015008225999637078,0.0005729207720444133,0.5048366453664479,0.6030205361176061
10,4_prod,0.2191829826582024,0.251044018280043,0.5048366453664479,0.6030205361176061
10,3_mid,0.018984719053194554,0.01267745282555747,0.5048366453664479,0.6030205361176061
11,3_mid,0.016066552990554,0.015561166703320514,0.5031378124420234,0.6043913433260634
11,2_beb,0.2594821820900522,0.3352504384482743,0.5031378124420234,0.6043913433260634
11,1_free,0.00680847434040725,0.0018242094290796932,0.5031378124420234,0.6043913433260634
11,4_prod,0.22078060302100996,0.25175552874538887,0.5031378124420234,0.6043913433260634
