hour_index,WND,SUN,WAT,OIL,NG,COL,NUC,OTH
155,648,0,170,0,782,2825,0,114
156,668,0,172,0,785,2679,0,114
157,659,28,173,0,865,2952,0,116
158,550,616,169,0,868,3096,0,113
159,477,1308,172,0,843,2798,0,110
160,697,1405,176,0,828,2153,0,107
161,769,1454,175,0,823,1944,0,103
162,1042,1424,181,0,814,1761,0,100
163,1428,1398,185,0,846,1574,0,97
164,1411,1429,201,0,854,1562,0,99
165,1565,1411,213,0,888,1587,0,96
166,1694,1411,212,0,845,1512,0,95
167,2109,1412,214,0,885,1541,0,96
168,1672,1312,225,0,978,1662,0,98
169,2035,1109,227,0,1174,1606,0,102
170,1726,387,227,0,1472,2097,0,101
171,1563,11,226,0,1641,2813,0,104
172,1407,0,227,0,1607,2967,0,109
173,1473,0,225,0,1473,2839,0,112
174,1373,0,227,0,1186,2653,0,112
175,1170,0,226,0,1056,2518,0,111
176,1408,0,224,0,883,2293,0,112
177,1682,0,229,0,836,2238,0,113
178,1945,0,225,0,876,1964,0,115
179,2246,0,226,0,885,1725,0,114
180,1920,0,228,0,974,1934,0,114
181,2020,19,229,0,904,2087,0,114
182,1906,464,228,0,939,1974,0,115
183,1793,1010,230,0,859,1551,0,111
184,1814,1245,234,0,515,1353,0,113
185,1993,1408,231,0,538,1254,0,115
186,2114,1447,232,0,523,1117,0,113
187,2160,1475,230,0,509,947,0,111
188,2150,1495,232,0,533,834,0,112
189,2247,1496,231,0,540,845,0,112
190,2197,1477,230,0,542,943,0,111
191,2121,1480,231,0,601,1046,0,110
192,2207,1443,235,0,814,1196,0,115
193,2063,1210,231,0,1063,1379,0,113
194,1886,507,235,0,1276,1894,0,115
195,1199,13,238,0,1529,2724,0,116
196,602,0,234,0,1512,2981,0,114
197,395,0,238,0,1326,3019,0,117
198,355,0,237,0,1256,3065,0,115
199,209,0,233,0,1053,3003,0,116
200,197,0,236,0,878,2774,0,116
201,131,0,235,0,900,2670,0,118
202,125,0,235,0,879,2674,0,117
203,119,0,235,0,884,2528,0,115
204,134,0,235,0,930,2890,0,116
205,77,27,236,0,959,2979,0,115
206,97,375,237,0,982,3047,0,116
207,145,978,238,0,740,2523,0,117
208,210,1194,233,0,491,1710,0,117
209,264,1229,239,0,515,1525,0,114
210,311,1360,238,0,536,1423,0,112
211,374,1429,237,0,503,1393,0,113
212,469,1398,235,0,493,1250,0,112
213,424,1457,237,0,505,1052,0,109
214,461,1382,238,0,537,1021,0,110
215,474,1250,238,0,666,1286,0,111
216,507,1090,237,0,942,1604,0,111
217,652,859,235,0,1195,2402,0,112
218,933,320,240,0,1408,2981,0,113
219,1280,11,235,0,1536,2860,0,114
220,1037,0,240,0,1530,2982,0,113
221,1017,0,235,0,1450,2889,0,114
222,809,0,235,0,1285,3013,0,114
223,761,0,250,0,1247,3052,0,114
224,583,0,249,0,1119,3110,0,113
225,491,0,248,0,1014,3140,0,111
226,589,0,252,0,984,3104,0,111
227,508,0,250,0,1025,3093,0,113
228,491,0,253,0,1092,3121,0,111
229,524,14,248,0,1182,3204,0,112
230,587,370,250,0,1302,3169,0,111
231,660,985,251,0,1217,3016,0,113
232,827,1273,250,0,978,2872,0,116
233,963,1406,251,0,972,2506,0,114
234,1164,1364,253,0,1024,2348,0,110
235,1423,1389,251,0,1049,2348,0,113
236,1630,1367,251,0,1013,2373,0,108
237,1774,1267,252,0,1045,2497,0,109
238,1698,1226,253,0,1040,2571,0,106
239,1674,1234,251,0,985,2698,0,110
240,1743,1229,248,0,1015,2728,0,114
